mm_scATAC_peak_45039,Lmo7
mm_scATAC_peak_23651,Lhx1
mm_scATAC_peak_72406,Sfmbt2
mm_scATAC_peak_9892,Mir205
mm_scATAC_peak_68577,Osbp
mm_scATAC_peak_61536,Smchd1
mm_scATAC_peak_82829,Sycp2
mm_scATAC_peak_55158,Tbc1d23
mm_scATAC_peak_48861,Rbfox2
mm_scATAC_peak_144645,Map3k15
mm_scATAC_peak_60239,Pex6
mm_scATAC_peak_11648,Frk
mm_scATAC_peak_129646,Ier2
mm_scATAC_peak_24033,Tex14
mm_scATAC_peak_456,Prdm14
mm_scATAC_peak_108868,Daglb
mm_scATAC_peak_114087,Slc6a6
mm_scATAC_peak_30848,1700083H02Rik
mm_scATAC_peak_83724,Ythdf3
mm_scATAC_peak_38352,Irx4
mm_scATAC_peak_92093,Platr9
mm_scATAC_peak_52966,Eif2b5
mm_scATAC_peak_53309,Eif4a2
mm_scATAC_peak_6570,5730559C18Rik
mm_scATAC_peak_66858,Pias2
mm_scATAC_peak_123282,Arntl
mm_scATAC_peak_9340,Marc1
mm_scATAC_peak_58552,Anks1
mm_scATAC_peak_22087,Clec10a
mm_scATAC_peak_84674,Trpc3
mm_scATAC_peak_2405,Gm17767
mm_scATAC_peak_9662,Vash2
mm_scATAC_peak_21338,Shmt1
mm_scATAC_peak_127558,B930018H19Rik
mm_scATAC_peak_9082,Ccdc121
mm_scATAC_peak_107903,Pom121
mm_scATAC_peak_54242,Dirc2
mm_scATAC_peak_49487,1700029P11Rik
mm_scATAC_peak_67631,Rad9a
mm_scATAC_peak_108216,Gnb2
mm_scATAC_peak_99682,Gm833
mm_scATAC_peak_144498,Phex
mm_scATAC_peak_17681,Osbp2
mm_scATAC_peak_72778,Mllt10
mm_scATAC_peak_14298,Pdxk
mm_scATAC_peak_75312,Rnd3
mm_scATAC_peak_86625,Slc25a44
mm_scATAC_peak_84778,Mfsd8
mm_scATAC_peak_132915,Alkbh8
mm_scATAC_peak_27770,Asxl2
mm_scATAC_peak_80112,4933406D12Rik
mm_scATAC_peak_101303,Gm7361
mm_scATAC_peak_62147,Haao
mm_scATAC_peak_129988,Nkd1
mm_scATAC_peak_27302,Rbfox3
mm_scATAC_peak_86289,Fbxw7
mm_scATAC_peak_81218,Blcap
mm_scATAC_peak_3454,Fn1
mm_scATAC_peak_121374,Fanci
mm_scATAC_peak_86148,Glrb
mm_scATAC_peak_140729,Was
mm_scATAC_peak_85411,Serp1
mm_scATAC_peak_65654,Lmnb1
mm_scATAC_peak_130457,Cdh11
mm_scATAC_peak_143957,Platr21
mm_scATAC_peak_56203,Morc3
mm_scATAC_peak_50600,Fkbp11
mm_scATAC_peak_5500,Mir6346
mm_scATAC_peak_30681,Mir681
mm_scATAC_peak_88575,Ampd2
mm_scATAC_peak_58399,Itpr3
mm_scATAC_peak_19224,Mir6372
mm_scATAC_peak_102216,Lrpap1
mm_scATAC_peak_135372,4933407I05Rik
mm_scATAC_peak_105544,1700028D13Rik
mm_scATAC_peak_41576,Dennd6a
mm_scATAC_peak_84983,Mgst2
mm_scATAC_peak_110313,Cttnbp2
mm_scATAC_peak_124037,1700123J17Rik
mm_scATAC_peak_39623,Slc30a5
mm_scATAC_peak_139046,Actl11
mm_scATAC_peak_15574,Cradd
mm_scATAC_peak_32142,Tmed10
mm_scATAC_peak_91302,Fam92a
mm_scATAC_peak_102601,Cc2d2a
mm_scATAC_peak_57823,Zfp758
mm_scATAC_peak_85359,Pfn2
mm_scATAC_peak_128436,Palld
mm_scATAC_peak_114254,
mm_scATAC_peak_90068,Hs2st1
mm_scATAC_peak_89468,Ostc
mm_scATAC_peak_103783,Aasdh
mm_scATAC_peak_25899,Mapt
mm_scATAC_peak_85153,Frem2
mm_scATAC_peak_38466,Tppp
mm_scATAC_peak_126373,Gm5907
mm_scATAC_peak_74029,Crat
mm_scATAC_peak_114377,Foxp1
mm_scATAC_peak_74840,Snord90
mm_scATAC_peak_82016,Snord12
mm_scATAC_peak_84907,Noct
mm_scATAC_peak_54456,4930542C21Rik
mm_scATAC_peak_67167,Zfp236
mm_scATAC_peak_20590,9530068E07Rik
mm_scATAC_peak_69405,Rfx3
mm_scATAC_peak_41109,D14Ertd670e
mm_scATAC_peak_138347,Gm1123
mm_scATAC_peak_130037,Chd9
mm_scATAC_peak_125605,1810010D01Rik
mm_scATAC_peak_93498,Ugcg
mm_scATAC_peak_91186,Esrp1
mm_scATAC_peak_88812,Cdc14a
mm_scATAC_peak_64752,E230025N22Rik
mm_scATAC_peak_4700,Mroh2a
mm_scATAC_peak_115930,Cracr2a
mm_scATAC_peak_123089,Wee1
mm_scATAC_peak_1155,4931408C20Rik
mm_scATAC_peak_37808,Habp4
mm_scATAC_peak_42855,Chd8
mm_scATAC_peak_15042,Prdm4
mm_scATAC_peak_101649,Dpysl5
mm_scATAC_peak_117440,Zfp444
mm_scATAC_peak_138085,Pcolce2
mm_scATAC_peak_127650,Lonrf1
mm_scATAC_peak_95986,Ermap
mm_scATAC_peak_103330,Rbm47
mm_scATAC_peak_66916,A330094K24Rik
mm_scATAC_peak_60735,Ticam1
mm_scATAC_peak_127895,Fat1
mm_scATAC_peak_90897,Tox
mm_scATAC_peak_126271,Mir1968
mm_scATAC_peak_223,Sntg1
mm_scATAC_peak_130085,Fto
mm_scATAC_peak_15258,Actr6
mm_scATAC_peak_9537,9330162B11Rik
mm_scATAC_peak_122876,Ppfibp2
mm_scATAC_peak_46010,Wdr70
mm_scATAC_peak_74199,Fubp3
mm_scATAC_peak_46402,Mtmr12
mm_scATAC_peak_42118,Mapk8
mm_scATAC_peak_114673,Ssu2
mm_scATAC_peak_77041,Lrrc55
mm_scATAC_peak_8367,Arhgap30
mm_scATAC_peak_38895,Dhfr
mm_scATAC_peak_84576,Atp11b
mm_scATAC_peak_27304,Rbfox3
mm_scATAC_peak_122183,Aamdc
mm_scATAC_peak_115256,Ninj2
mm_scATAC_peak_36053,Gcnt2
mm_scATAC_peak_41391,Kcnma1
mm_scATAC_peak_93473,Gng10
mm_scATAC_peak_25648,Ubtf
mm_scATAC_peak_99988,Mrpl20
mm_scATAC_peak_112836,Smyd1
mm_scATAC_peak_1965,Creg2
mm_scATAC_peak_29823,Coch
mm_scATAC_peak_19196,Bcl11a
mm_scATAC_peak_141635,Thoc2
mm_scATAC_peak_77229,Arfgap2
mm_scATAC_peak_43336,Sap18
mm_scATAC_peak_48823,1110038F14Rik
mm_scATAC_peak_77616,Ehf
mm_scATAC_peak_21318,Llgl1
mm_scATAC_peak_111884,Zfp746
mm_scATAC_peak_59242,Wiz
mm_scATAC_peak_28460,Mir6387
mm_scATAC_peak_81791,Zfp663
mm_scATAC_peak_124540,Sec23ip
mm_scATAC_peak_137913,AF529169
mm_scATAC_peak_25916,Mapt
mm_scATAC_peak_126603,4930467E23Rik
mm_scATAC_peak_95179,Gpx7
mm_scATAC_peak_126019,Col4a2
mm_scATAC_peak_114777,Cidec
mm_scATAC_peak_20064,F630206G17Rik
mm_scATAC_peak_112087,Gm6559
mm_scATAC_peak_92057,Smim8
mm_scATAC_peak_44937,Klf5
mm_scATAC_peak_85095,Gm20750
mm_scATAC_peak_76515,Atf2
mm_scATAC_peak_62332,Six3
mm_scATAC_peak_82603,Pmepa1
mm_scATAC_peak_134834,Nectin1
mm_scATAC_peak_37100,Catsper3
mm_scATAC_peak_33618,Cdc42bpb
mm_scATAC_peak_138960,Cacna2d2
mm_scATAC_peak_18167,Nacad
mm_scATAC_peak_85579,Plch1
mm_scATAC_peak_104329,Ccng2
mm_scATAC_peak_64525,Ctnna1
mm_scATAC_peak_69018,Trpm3
mm_scATAC_peak_118084,Slc1a5
mm_scATAC_peak_124081,Nfatc2ip
mm_scATAC_peak_135019,Kmt2a
mm_scATAC_peak_97776,Clic4
mm_scATAC_peak_116721,Lrmp
mm_scATAC_peak_7333,Stx6
mm_scATAC_peak_121541,Man2a2
mm_scATAC_peak_18731,Actr2
mm_scATAC_peak_63052,Mpp7
mm_scATAC_peak_4734,Arl4c
mm_scATAC_peak_81623,Pkig
mm_scATAC_peak_102629,Prom1
mm_scATAC_peak_22423,Olfr412
mm_scATAC_peak_58011,Eci1
mm_scATAC_peak_114562,Gm9871
mm_scATAC_peak_12394,Prep
mm_scATAC_peak_135330,Ppp2r1b
mm_scATAC_peak_37476,BC051665
mm_scATAC_peak_71513,Ablim1
mm_scATAC_peak_13453,4930407I19Rik
mm_scATAC_peak_120988,Pcsk6
mm_scATAC_peak_47638,Oxr1
mm_scATAC_peak_6463,Shisa4
mm_scATAC_peak_89236,Camk2d
mm_scATAC_peak_70257,Aldh18a1
mm_scATAC_peak_119553,Lsm14a
mm_scATAC_peak_68726,Psat1
mm_scATAC_peak_102763,Sod3
mm_scATAC_peak_128320,Scrg1
mm_scATAC_peak_88392,Ddx20
mm_scATAC_peak_136097,Pkm
mm_scATAC_peak_106723,P2rx4
mm_scATAC_peak_122688,Olfr543
mm_scATAC_peak_131729,Gan
mm_scATAC_peak_98891,Zfp981
mm_scATAC_peak_122609,Numa1
mm_scATAC_peak_73184,Psd4
mm_scATAC_peak_131284,St3gal2
mm_scATAC_peak_60068,Slc29a1
mm_scATAC_peak_92941,Tex10
mm_scATAC_peak_94080,Bnc2
mm_scATAC_peak_102497,Wdr1
mm_scATAC_peak_53551,Hes1
mm_scATAC_peak_129970,Adcy7
mm_scATAC_peak_117962,Zfp541
mm_scATAC_peak_67241,4921531P14Rik
mm_scATAC_peak_15622,Nudt4
mm_scATAC_peak_18538,Sec61g
mm_scATAC_peak_117903,Crx
mm_scATAC_peak_97344,Atpif1
mm_scATAC_peak_35289,Ripor2
mm_scATAC_peak_62383,Epas1
mm_scATAC_peak_77708,Cd59b
mm_scATAC_peak_70682,Pax2
mm_scATAC_peak_16259,Lgr5
mm_scATAC_peak_32550,Gtf2a1
mm_scATAC_peak_51847,1810013L24Rik
mm_scATAC_peak_26853,Nup85
mm_scATAC_peak_125858,Efnb2
mm_scATAC_peak_61271,Rab12
mm_scATAC_peak_33863,Mta1
mm_scATAC_peak_81301,Snhg17
mm_scATAC_peak_42432,Gnpnat1
mm_scATAC_peak_14780,Zfp873
mm_scATAC_peak_32217,Tgfb3
mm_scATAC_peak_98291,Tas1r2
mm_scATAC_peak_138290,Rbp2
mm_scATAC_peak_24352,Spag9
mm_scATAC_peak_13265,Stox1
mm_scATAC_peak_62330,Six3os1
mm_scATAC_peak_53704,Bdh1
mm_scATAC_peak_108401,Gper1
mm_scATAC_peak_43292,Il17d
mm_scATAC_peak_55090,Pcnp
mm_scATAC_peak_20539,Ppp2ca
mm_scATAC_peak_101911,Pisd
mm_scATAC_peak_22749,Mrm3
mm_scATAC_peak_127458,Gtf2e2
mm_scATAC_peak_57845,6330415G19Rik
mm_scATAC_peak_93238,Actl7b
mm_scATAC_peak_87149,Gm9125
mm_scATAC_peak_87325,Pi4kb
mm_scATAC_peak_64401,Fam13b
mm_scATAC_peak_131258,Il34
mm_scATAC_peak_77444,Trp53i11
mm_scATAC_peak_44110,Slc39a14
mm_scATAC_peak_89113,Gclm
mm_scATAC_peak_106147,Suds3
mm_scATAC_peak_139509,Lrrfip2
mm_scATAC_peak_120359,Lmtk3
mm_scATAC_peak_133283,Sesn3
mm_scATAC_peak_132735,Slc35f3
mm_scATAC_peak_102764,Sod3
mm_scATAC_peak_11814,Traf3ip2
mm_scATAC_peak_67643,Mir6985
mm_scATAC_peak_128239,Aga
mm_scATAC_peak_62387,Tmem247
mm_scATAC_peak_64579,Snhg4
mm_scATAC_peak_88261,Lrig2
mm_scATAC_peak_119639,Slc7a10
mm_scATAC_peak_71320,Rbm20
mm_scATAC_peak_131647,Maf
mm_scATAC_peak_48950,Kctd17
mm_scATAC_peak_112779,Rpia
mm_scATAC_peak_140012,Xirp1
mm_scATAC_peak_130094,Irx3
mm_scATAC_peak_122171,Ints4
mm_scATAC_peak_39811,Cwc27
mm_scATAC_peak_120231,Flt3l
mm_scATAC_peak_47231,Snx31
mm_scATAC_peak_38436,Slc12a7
mm_scATAC_peak_138972,Cyb561d2
mm_scATAC_peak_43416,Cdadc1
mm_scATAC_peak_10299,Tab2
