cell	uniq_frags
12-16cell-303	57337.000000
12-16cell-304	54719.000000
12-16cell-305	67107.000000
12-16cell-306	58680.000000
12-16cell-307	49685.000000
12-16cell-308	6476.000000
12-16cell-309	49549.000000
12-16cell-31	9577.000000
12-16cell-310	27702.000000
12-16cell-311	50524.000000
12-16cell-312	42210.000000
12-16cell-313	14910.000000
12-16cell-314	37887.000000
12-16cell-315	40008.000000
12-16cell-316	27785.000000
12-16cell-317	8536.000000
12-16cell-318	19869.000000
12-16cell-319	20966.000000
12-16cell-32	14141.000000
12-16cell-320	53624.000000
12-16cell-321	36734.000000
12-16cell-322	42459.000000
12-16cell-323	80483.000000
12-16cell-324	75439.000000
12-16cell-325	48606.000000
12-16cell-326	70373.000000
12-16cell-327	14372.000000
12-16cell-328	133459.000000
12-16cell-329	10762.000000
12-16cell-33	18011.000000
12-16cell-330	46852.000000
12-16cell-331	10867.000000
12-16cell-332	54755.000000
12-16cell-333	18228.000000
12-16cell-334	77211.000000
12-16cell-335	73508.000000
12-16cell-336	27372.000000
12-16cell-337	87458.000000
12-16cell-338	20410.000000
12-16cell-339	85031.000000
12-16cell-34	4631.000000
12-16cell-340	15078.000000
12-16cell-341	71803.000000
12-16cell-342	126730.000000
12-16cell-343	85895.000000
12-16cell-344	224838.000000
12-16cell-345	323221.000000
12-16cell-346	279842.000000
12-16cell-347	266042.000000
12-16cell-348	104408.000000
12-16cell-349	59557.000000
12-16cell-35	5686.000000
12-16cell-350	221504.000000
12-16cell-351	305952.000000
12-16cell-352	232040.000000
12-16cell-353	235075.000000
12-16cell-354	460958.000000
12-16cell-355	136041.000000
12-16cell-356	138032.000000
12-16cell-357	284812.000000
12-16cell-358	38287.000000
12-16cell-359	172108.000000
12-16cell-36	10510.000000
12-16cell-360	796995.000000
12-16cell-361	32648.000000
12-16cell-362	35846.000000
12-16cell-363	41979.000000
12-16cell-364	28827.000000
12-16cell-365	28015.000000
12-16cell-366	16842.000000
12-16cell-367	50690.000000
12-16cell-368	24905.000000
12-16cell-369	6875.000000
12-16cell-37	7527.000000
12-16cell-370	25837.000000
12-16cell-371	56631.000000
12-16cell-372	7937.000000
12-16cell-373	47755.000000
12-16cell-374	34171.000000
12-16cell-375	25409.000000
12-16cell-376	23862.000000
12-16cell-377	12448.000000
12-16cell-378	35845.000000
12-16cell-379	56559.000000
12-16cell-38	4748.000000
12-16cell-380	67389.000000
12-16cell-381	42337.000000
12-16cell-382	7012.000000
12-16cell-383	10054.000000
12-16cell-384	22934.000000
12-16cell-385	18293.000000
12-16cell-386	14704.000000
12-16cell-387	4532.000000
12-16cell-388	8266.000000
12-16cell-389	12304.000000
12-16cell-39	5242.000000
12-16cell-390	12311.000000
12-16cell-391	17827.000000
12-16cell-392	9917.000000
12-16cell-393	21546.000000
12-16cell-394	7705.000000
12-16cell-395	10741.000000
12-16cell-396	12819.000000
12-16cell-397	10053.000000
12-16cell-398	14676.000000
12-16cell-399	14257.000000
12-16cell-4	9957.000000
12-16cell-40	7646.000000
12-16cell-400	13169.000000
12-16cell-401	17083.000000
12-16cell-402	12509.000000
12-16cell-403	6127.000000
12-16cell-404	4989.000000
12-16cell-405	4814.000000
12-16cell-406	3789.000000
12-16cell-407	3617.000000
12-16cell-408	6701.000000
12-16cell-409	2835.000000
12-16cell-41	8750.000000
12-16cell-410	3963.000000
12-16cell-411	2831.000000
12-16cell-412	4109.000000
12-16cell-413	4078.000000
12-16cell-414	4109.000000
12-16cell-415	5485.000000
12-16cell-416	4859.000000
12-16cell-417	10735.000000
12-16cell-418	2540.000000
12-16cell-419	1156.000000
12-16cell-42	22072.000000
12-16cell-420	2717.000000
12-16cell-421	4473.000000
12-16cell-422	3230.000000
12-16cell-423	2417.000000
12-16cell-424	4095.000000
12-16cell-425	3151.000000
12-16cell-426	2264.000000
12-16cell-427	3028.000000
12-16cell-428	3656.000000
12-16cell-429	4839.000000
12-16cell-43	3063.000000
12-16cell-430	4235.000000
12-16cell-431	2693.000000
12-16cell-432	4054.000000
12-16cell-433	3071.000000
12-16cell-434	4362.000000
12-16cell-435	922.000000
12-16cell-436	3520.000000
12-16cell-437	9076.000000
12-16cell-438	3412.000000
12-16cell-439	5337.000000
12-16cell-44	5249.000000
12-16cell-440	3024.000000
12-16cell-441	6719.000000
12-16cell-442	6652.000000
12-16cell-443	3912.000000
12-16cell-444	3830.000000
12-16cell-445	3866.000000
12-16cell-446	4167.000000
12-16cell-447	4704.000000
12-16cell-448	3118.000000
12-16cell-449	6184.000000
12-16cell-45	4427.000000
12-16cell-450	4588.000000
12-16cell-46	94682.000000
12-16cell-47	47552.000000
12-16cell-48	71168.000000
12-16cell-49	103338.000000
12-16cell-5	5118.000000
12-16cell-50	39689.000000
12-16cell-51	61543.000000
12-16cell-52	103569.000000
12-16cell-53	65912.000000
12-16cell-54	97377.000000
12-16cell-55	41601.000000
12-16cell-56	41877.000000
12-16cell-57	56718.000000
12-16cell-58	50659.000000
12-16cell-59	99383.000000
12-16cell-6	13739.000000
12-16cell-60	93045.000000
12-16cell-61	111177.000000
12-16cell-62	35290.000000
12-16cell-63	29156.000000
12-16cell-64	76981.000000
12-16cell-65	47142.000000
12-16cell-66	57616.000000
12-16cell-67	25710.000000
12-16cell-68	71989.000000
12-16cell-69	79609.000000
12-16cell-7	11488.000000
12-16cell-70	73703.000000
12-16cell-71	58819.000000
12-16cell-72	82972.000000
12-16cell-73	54193.000000
12-16cell-74	70323.000000
12-16cell-75	50904.000000
12-16cell-76	62637.000000
12-16cell-77	57611.000000
12-16cell-78	64894.000000
12-16cell-79	93609.000000
12-16cell-8	15604.000000
12-16cell-80	58061.000000
12-16cell-81	52530.000000
12-16cell-82	61562.000000
12-16cell-83	4991.000000
12-16cell-84	4294.000000
12-16cell-85	19397.000000
12-16cell-86	5239.000000
12-16cell-87	8853.000000
12-16cell-88	2017.000000
12-16cell-89	11320.000000
12-16cell-9	6485.000000
12-16cell-90	1768.000000
12-16cell-91	4810.000000
12-16cell-92	1920.000000
12-16cell-93	10468.000000
12-16cell-94	13852.000000
12-16cell-95	1358.000000
12-16cell-96	8653.000000
12-16cell-97	9913.000000
