Distance from Center (cmd=annotatePeaks.pl tss mm10 -size -5000,5000 -hist 10 -norm 1e6 -fragLength 1 -d TagDirectory/8cell)	TagDirectory/8cell Coverage	TagDirectory/8cell + Tags	TagDirectory/8cell - Tags
-5000	0.127200788916683	5.88320184721958e-05	5.65831248797389e-05
-4990	0.126250721570137	6.04194727727537e-05	5.49716182412935e-05
-4980	0.127621704829709	5.93010390609969e-05	5.60659996151629e-05
-4970	0.12988262459111	6.05878391379643e-05	5.76895324225519e-05
-4960	0.12779007119492	5.95054839330384e-05	5.48032518760828e-05
-4950	0.130808639599769	6.1393592457187e-05	5.59216855878397e-05
-4940	0.125541177602463	5.56330575331926e-05	5.7016066961709e-05
-4930	0.128066673080623	5.84712334038874e-05	5.85794689243797e-05
-4920	0.127200788916683	5.96497979603619e-05	5.60419472772757e-05
-4910	0.129100923609775	5.89883586684629e-05	5.83990763902256e-05
-4900	0.133057533192226	5.92890128920536e-05	6.16341158360597e-05
-4890	0.131193477005965	5.77616894362135e-05	6.22113719453534e-05
-4880	0.12290744660381	5.42259957667889e-05	5.87959399653649e-05
-4870	0.128764190879353	5.7906003463537e-05	5.85674427554361e-05
-4860	0.130159226476814	5.67875697517803e-05	6.22715027900716e-05
-4850	0.122799211083317	5.63666538387535e-05	5.44304406388303e-05
-4840	0.126984317875698	6.0323263421205e-05	5.5969790263614e-05
-4830	0.118866653838753	5.40937079084089e-05	5.45867808350976e-05
-4820	0.123484702713104	5.63786800076967e-05	5.49836444102371e-05
-4810	0.12247450452184	5.35164517991154e-05	5.75812969020594e-05
-4800	0.129569944198576	5.92890128920533e-05	5.80382913219166e-05
-4790	0.131758706946315	5.89162016548014e-05	6.1201173754089e-05
-4780	0.122654897055994	5.51159322686168e-05	5.52842986338277e-05
-4770	0.125529151433519	5.42861266115072e-05	6.02992110833173e-05
-4760	0.123773330767751	6.02751587454302e-05	5.32398499134121e-05
-4750	0.12652732345584	5.62704444872045e-05	5.81946315181838e-05
-4740	0.123556859726765	5.36126611506642e-05	5.85433904175491e-05
-4730	0.124146142005003	5.76414277467773e-05	5.38892630363674e-05
-4720	0.122763132576486	5.35405041370025e-05	5.6102078121994e-05
-4710	0.123496728882047	5.59577640946704e-05	5.59938426015013e-05
-4700	0.122835289590148	5.57412930536852e-05	5.55609005195309e-05
-4690	0.124819607465846	5.6667308062344e-05	5.63546276698098e-05
-4680	0.124879738310564	5.84712334038871e-05	5.60659996151631e-05
-4670	0.125240523378872	5.90484895131806e-05	5.48032518760825e-05
-4660	0.126106407542813	5.70401192995964e-05	5.7906003463537e-05
-4650	0.126419087935347	6.01308447181067e-05	5.45988070040411e-05
-4640	0.131566288243217	6.16220896671159e-05	5.70401192995964e-05
-4630	0.129257263806042	5.96257456224747e-05	5.8447181066e-05
-4620	0.126551375793727	5.84952857417744e-05	5.70641716374836e-05
-4610	0.124807581296902	5.61622089667118e-05	5.61261304598809e-05
-4600	0.129377525495478	5.82307100250147e-05	5.93130652299405e-05
-4590	0.133791129497787	6.04314989416973e-05	6.06359438137391e-05
-4580	0.128559746007312	5.76654800846647e-05	5.89041754858574e-05
-4570	0.128451510486819	5.93130652299408e-05	5.76414277467772e-05
-4560	0.127729940350202	5.63786800076972e-05	5.92409082162789e-05
-4550	0.129233211468155	5.95535886088133e-05	5.75572445641721e-05
-4540	0.128030594573793	5.80262651529733e-05	5.89763324995194e-05
-4530	0.126599480469502	5.93611699057152e-05	5.42500481046763e-05
-4520	0.127321050606119	5.65590725418513e-05	5.83750240523382e-05
-4510	0.128319222628439	5.80503174908605e-05	5.76294015778336e-05
-4500	0.126599480469502	5.55849528574178e-05	5.9565614777757e-05
-4490	0.126455166442178	5.64147585145281e-05	5.91687512026173e-05
-4480	0.123304310178949	5.47431210313647e-05	5.58976332499522e-05
-4470	0.129281316143929	5.72084856648069e-05	6.08043101789497e-05
-4460	0.124891764479507	5.39133153742549e-05	5.89763324995189e-05
-4450	0.127284972099288	6.01428708870504e-05	5.5969790263614e-05
-4440	0.124615162593804	5.85313642486053e-05	5.56571098710799e-05
-4430	0.126022224360208	5.71603809890325e-05	5.84471810660002e-05
-4420	0.126274773908024	5.97700596497983e-05	5.57893977294597e-05
-4410	0.126503271117953	5.68236482586109e-05	5.81104483355785e-05
-4400	0.130183278814701	5.79901866461422e-05	5.96858764671928e-05
-4390	0.131554262074274	5.89643063305757e-05	6.04074466038102e-05
-4380	0.12835530113527	5.84712334038869e-05	5.90845680200118e-05
-4370	0.125324706561478	5.80503174908604e-05	5.63786800076973e-05
-4360	0.125841831826053	5.82186838560713e-05	5.61020781219937e-05
-4350	0.126695689821051	5.85554165864925e-05	5.62704444872045e-05
-4340	0.126455166442178	5.67875697517803e-05	5.79781604771989e-05
-4330	0.122546661535501	5.26505676351747e-05	5.88560708100831e-05
-4320	0.122438426015009	5.55368481816436e-05	5.63786800076972e-05
-4310	0.124194246680777	5.46589378487594e-05	5.82307100250148e-05
-4300	0.124098037329228	5.5176063113335e-05	5.88320184721957e-05
-4290	0.118361554743121	5.11352703482781e-05	5.59457379257268e-05
-4280	0.125276601885703	5.8218683856071e-05	5.66793342312877e-05
-4270	0.127621704829709	5.85433904175488e-05	5.64628631903025e-05
-4260	0.123280257841062	5.66432557244568e-05	5.41658649220708e-05
-4250	0.120971233403887	5.53324033096021e-05	5.50918799307296e-05
-4240	0.126599480469502	5.80142389840296e-05	5.68717529343855e-05
-4230	0.131025110640754	5.82427361939583e-05	6.10929382335965e-05
-4220	0.128223013276891	5.68236482586111e-05	6.00466615355014e-05
-4210	0.129461708678084	5.89162016548012e-05	5.84351548970565e-05
-4200	0.128126803925342	5.65229940350205e-05	6.1153069078315e-05
-4190	0.123111891475851	5.92769867231098e-05	5.4574754666154e-05
-4180	0.122498556859727	5.66913604002312e-05	5.50918799307293e-05
-4170	0.127333076775063	5.7208485664807e-05	5.71844333269196e-05
-4160	0.124987973831056	5.87959399653649e-05	5.45988070040411e-05
-4150	0.126310852414855	5.67514912449494e-05	5.86516259380415e-05
-4140	0.121704829709448	5.67995959207239e-05	5.5200115451222e-05
-4130	0.120802867038676	5.54406388300947e-05	5.48273042139697e-05
-4120	0.118926784683471	5.32398499134121e-05	5.51039060996732e-05
-4110	0.121259861458534	5.67394650760057e-05	5.39974985568602e-05
-4100	0.12944968250914	5.8832018472196e-05	5.96137194535312e-05
-4090	0.129521839522802	5.86155474312107e-05	5.90484895131813e-05
-4080	0.129173080623437	6.06960746584571e-05	5.73527996921302e-05
-4070	0.131866942466808	6.05637868000771e-05	5.91567250336734e-05
-4060	0.122318164325572	5.76534539157208e-05	5.40095247258036e-05
-4050	0.128174908601116	6.0611891475852e-05	5.53324033096021e-05
-4040	0.125721570136617	5.70401192995964e-05	5.83148932076201e-05
-4030	0.124591110255917	5.68356744275549e-05	5.52482201269966e-05
-4020	0.127296998268232	5.7400904367905e-05	5.88320184721956e-05
-4010	0.123893592457187	5.59216855878395e-05	5.74129305368484e-05
-4000	0.121307966134308	5.46108331729849e-05	5.4538676159323e-05
-3990	0.128499615162594	6.23677121416204e-05	5.51159322686168e-05
-3980	0.132155570521455	6.16100634981723e-05	5.67875697517802e-05
-3970	0.120478160477198	5.57893977294597e-05	5.3937367712142e-05
-3960	0.120225610929382	5.55488743505871e-05	5.4286126611507e-05
-3950	0.125625360785068	5.71243024822017e-05	5.76294015778337e-05
-3940	0.128728112372523	5.98782951702909e-05	5.73287473542434e-05
-3930	0.124987973831056	5.50197229170677e-05	5.86756782759288e-05
-3920	0.128018568404849	5.59096594188959e-05	6.1080912064653e-05
-3910	0.128595824514143	5.76534539157208e-05	6.06599961516262e-05
-3900	0.125926015008659	5.5933711756783e-05	5.83028670386764e-05
-3890	0.129088897440831	6.05758129690207e-05	5.67875697517802e-05
-3880	0.125384837406196	5.61141042909374e-05	5.84111025591693e-05
-3870	0.126912160862036	5.63546276698099e-05	5.97099288050801e-05
-3860	0.133141716374832	6.1682220511834e-05	5.81826053492402e-05
-3850	0.124410717721763	5.54045603232638e-05	5.67394650760055e-05
-3840	0.128836347893015	6.00947662112763e-05	5.75692707331154e-05
